player_name,player_id,current_team,position,candidate_type,expected_salary,salary_source,source_note
Kevin Durant,201142,HOU,,trade_target,54708609.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kevin Huerter,1628989,DET,,trade_target,17991071.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kevin Porter Jr.,1629645,MIL,,trade_target,5134000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Keyonte George,1641718,UTA,,trade_target,4278960.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Khris Middleton,203114,DAL,,trade_target,33296296.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Klay Thompson,202691,DAL,,trade_target,16666667.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kobe Sanders,1642920,LAC,,trade_target,475497.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kon Knueppel,1642851,CHA,,trade_target,10015680.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kris Dunn,1627739,LAC,,trade_target,5426400.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kris Murray,1631200,POR,,trade_target,3132000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kyle Filipowski,1642271,UTA,,trade_target,3000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kyle Kuzma,1628398,MIL,,trade_target,22410605.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Kyshawn George,1642273,WAS,,trade_target,2966760.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
LaMelo Ball,1630163,CHA,,trade_target,37958760.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Landry Shamet,1629013,NYK,,trade_target,2296274.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Lauri Markkanen,1628374,UTA,,trade_target,46394100.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
LeBron James,2544,LAL,,trade_target,52627153.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Luguentz Dort,1629652,OKC,,trade_target,18222222.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Luka Dončić,1629029,LAL,,trade_target,45999660.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Luka Garza,1630568,BOS,,trade_target,2461463.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Luke Kennard,1628379,LAL,,trade_target,11000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
Luke Kornet,1628436,SAS,,trade_target,11000000.0,Basketball-Reference contracts (https://www.basketball-reference.com/contracts/players.html) (pulled 2026-06-24),"Pool: real nba_api rotation players (latest season, >= 1000 min, excluding PHI). Salary matched from Basketball-Reference contracts."
